sample_index,pad_x_m,pad_y_m,pad_z_m,tibia_x_m,tibia_y_m,tibia_z_m,distance_to_silicone_surface_m,silicone_winding,classification,occupied_visual_indices,uncertain_visual_indices,aabb_hits,distance_lower_bound_to_other_cad_solids_m
4,0.19208877719938755,-0.002187499776482582,0.014360553002916276,-0.10807902643781375,0.15943504627570526,-0.01607288072863316,0.0025625000707805157,-1.766974823035287e-17,occupied,[2],[],1,0.0
6,0.19209256023168564,0.0010000001639127731,0.014318773057311773,-0.10804451521735138,0.15945901669331536,-0.019260379770193844,0.005750000011175871,4.417437057588218e-18,occupied,[2],[],1,0.0
7,0.19209562614560127,-0.002187499776482582,0.014459895202890038,-0.10816859167882945,0.15939152790771338,-0.016072883727004737,0.0025625000707805157,-8.834874115176436e-18,occupied,[2],[],1,0.0
8,0.19209634326398373,0.004187500104308128,0.01427699311170727,-0.108010003996889,0.15948298711092546,-0.022447878811754526,0.0025625000707805157,5.521796321985272e-17,occupied,[2],[],1,0.0
10,0.19209940917789936,0.0010000001639127731,0.014418115257285535,-0.10813408045836706,0.15941549832532348,-0.019260382768565423,0.005750000011175871,-1.1043592643970545e-17,occupied,[2],[],1,0.0
12,0.192102475091815,-0.002187499776482582,0.0145592374028638,-0.10825815691984512,0.15934800953972147,-0.016072886725376316,0.0025625000707805157,2.208718528794109e-18,occupied,[2],[],1,0.0
13,0.19210319221019745,0.004187500104308128,0.014376335311681032,-0.10809956923790467,0.15943946874293355,-0.022447881810126104,0.0025625000707805157,-6.6261555863823264e-18,occupied,[2],[],1,0.0
15,0.19210625812411308,0.0010000001639127731,0.014517457457259297,-0.10822364569938275,0.15937197995733157,-0.019260385766936998,0.005750000011175871,1.1043592643970545e-17,occupied,[2],[],1,0.0
18,0.19210932403802872,-0.002187499776482582,0.014658579602837563,-0.10834772216086079,0.15930449117172957,-0.016072889723747895,0.0025625000707805157,2.208718528794109e-17,occupied,[2],[],1,0.0
19,0.19211004115641117,0.004187500104308128,0.014475677511654794,-0.10818913447892035,0.15939595037494164,-0.022447884808497683,0.0025625000707805157,-1.766974823035287e-17,occupied,[2],[],1,0.0
22,0.1921131070703268,0.0010000001639127731,0.01461679965723306,-0.10831321094039842,0.1593284615893397,-0.019260388765308577,0.005750000011175871,3.3130777931911635e-17,occupied,[2],[],1,0.0
26,0.1921168901026249,0.004187500104308128,0.014575019711628556,-0.10827869971993603,0.15935243200694976,-0.022447887806869262,0.0025625000707805157,1.766974823035287e-17,occupied,[2],[],1,0.0
29,0.19211995601654053,0.0010000001639127731,0.014716141857206821,-0.1084027761814141,0.15928494322134779,-0.019260391763680156,0.005750000011175871,2.208718528794109e-17,occupied,[2],[],1,0.0
34,0.19212373904883862,0.004187500104308128,0.014674361911602318,-0.10836826496095171,0.15930891363895786,-0.02244789080524084,0.0025625000707805157,1.5461029701558764e-17,occupied,[2],[],1,0.0
36,0.19212508015334606,-0.002187499776482582,0.014224777813069522,-0.10797934781008992,0.15953412693888758,-0.01607287915351841,0.0025625000707805157,1.766974823035287e-17,occupied,[2],[],1,0.0
39,0.19212886318564415,0.0010000001639127731,0.01418299786746502,-0.10794483658962753,0.15955809735649767,-0.019260378195079093,0.005750000011175871,2.208718528794109e-18,occupied,[2],[],1,0.0
40,0.19213058799505234,0.004187500104308128,0.01477370411157608,-0.10845783020196739,0.15926539527096595,-0.022447893803612416,0.0025625000707805157,-4.417437057588218e-18,occupied,[2],[],1,0.0
