-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       hexapod/sim/step        49.86%     646.331ms        55.11%     714.395ms      22.325ms       0.000us         0.00%       1.500ms      46.860us            32  
                                         cuLaunchKernel         5.66%      73.402ms         5.66%      73.402ms       3.191us       1.795ms         0.28%       1.795ms       0.078us         23002  
                                       cudaLaunchKernel         5.26%      68.146ms         5.26%      68.146ms       3.040us     187.842us         0.03%     187.842us       0.008us         22418  
          hexapod/metrics/capture_including_acquisition         4.93%      63.848ms        30.06%     389.648ms      12.176ms       0.000us         0.00%      19.597ms     612.402us            32  
                                  cudaStreamSynchronize         1.66%      21.489ms         1.66%      21.489ms       4.214us     310.689us         0.05%     310.689us       0.061us          5100  
                                Activity Buffer Request         1.11%      14.355ms         1.17%      15.181ms       1.168ms       5.505us         0.00%     150.562us      11.582us            13  
                                hexapod/actuator/budget         0.89%      11.554ms         3.97%      51.501ms       1.609ms       0.000us         0.00%       6.903ms     215.714us            32  
                          hexapod/scene/update_original         0.74%       9.582ms         3.81%      49.377ms       1.543ms       0.000us         0.00%      78.784us       2.462us            32  
                                             cudaMemset         0.70%       9.067ms         0.78%      10.054ms       2.851us     200.100us         0.03%     200.100us       0.057us          3526  
                        hexapod/sensor/lf_tibia/acquire         0.66%       8.609ms         1.49%      19.288ms     401.826us       0.000us         0.00%     100.259us       2.089us            48  
                                           aten::einsum         0.63%       8.191ms         3.27%      42.443ms      34.904us       0.000us         0.00%       3.187ms       2.621us          1216  
                               aten::linalg_vector_norm         0.63%       8.115ms         0.98%      12.643ms       8.891us       2.132ms         0.33%       2.132ms       1.499us          1422  
                                              aten::bmm         0.62%       7.983ms         0.89%      11.554ms       9.502us       1.739ms         0.27%       1.739ms       1.430us          1216  
                        hexapod/sensor/lm_tibia/acquire         0.59%       7.707ms         1.27%      16.465ms     343.020us       0.000us         0.00%     104.161us       2.170us            48  
                        hexapod/sensor/lr_tibia/acquire         0.59%       7.702ms         1.36%      17.593ms     366.527us       0.000us         0.00%     102.401us       2.133us            48  
                           hexapod/actuator/apply_model         0.59%       7.589ms         5.05%      65.489ms       2.047ms       0.000us         0.00%       7.913ms     247.272us            32  
                        hexapod/sensor/rm_tibia/acquire         0.58%       7.580ms         1.23%      15.971ms     332.723us       0.000us         0.00%     104.162us       2.170us            48  
                        hexapod/sensor/rr_tibia/acquire         0.58%       7.577ms         1.23%      15.992ms     333.169us       0.000us         0.00%     122.689us       2.556us            48  
                        hexapod/sensor/rf_tibia/acquire         0.58%       7.571ms         1.24%      16.081ms     335.012us       0.000us         0.00%      67.904us       1.415us            48  
