top_enclosure.stl 1 bbox [[-144.279, -224.94, 61.5], [144.996, 224.948, 66.5]] cen [0.039, -0.141, 63.878] volume_cc 143.8641
m4_countersunk_hex_drive_screw__12mm_l__alloy_steel.stl 60 bbox [[-4.0, -3.464, -6.0], [3.939, 3.464, 6.0]] cen [0.001, -0.002, 1.399] volume_cc 0.1604
m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl 73 bbox [[-2.747, -2.722, -3.5], [2.74, 2.726, 3.5]] cen [0.0, 0.001, 1.126] volume_cc 0.072
m3_countersunk_hex_drive_screw__8mm_l__alloy_steel.stl 36 bbox [[-2.298, -2.598, -4.0], [2.719, 2.898, 4.0]] cen [-0.001, -0.0, 0.95] volume_cc 0.0614
bottom_enclosure.stl 1 bbox [[-144.711, -224.902, 56.5], [144.774, 224.904, 61.5]] cen [0.038, -0.139, 59.108] volume_cc 145.8915
tibia.stl 6 bbox [[-21.742, -33.25, -23.462], [129.852, 33.25, 22.525]] cen [52.504, -0.156, 0.012] volume_cc 72.095
m4_low_profile_socket_head_screw__8mm_l__18_8_ss.stl 72 bbox [[-3.381, -3.188, -5.4], [3.5, 3.5, 5.4]] cen [0.001, 0.0, 1.566] volume_cc 0.1786
m3_low_profile_socket_head_screw__6mm_l__18_8_ss.stl 96 bbox [[-2.74, -2.74, -4.0], [2.39, 2.505, 4.0]] cen [0.0, -0.001, 1.221] volume_cc 0.0773
m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl 144 bbox [[-2.544, -2.584, -5.0], [2.708, 2.584, 5.0]] cen [0.0, -0.001, 1.43] volume_cc 0.0886
tibia_attatchment_plate.stl 6 bbox [[-23.472, -26.532, -51.98], [23.283, 26.532, -1.6]] cen [0.0, 0.229, -15.615] volume_cc 7.2532
first_joint_spacer.stl 6 bbox [[-83.0, -17.5, 1.6], [-64.0, 17.5, 50.6]] cen [-75.284, -0.0, 26.191] volume_cc 22.775
first_joint_top.stl 6 bbox [[-83.0, -24.876, 50.6], [25.0, 24.998, 52.2]] cen [-34.46, -0.106, 51.4] volume_cc 5.0469
m3_low_profile__socket_head_shoulder_screw__45mm_shoulder_l__4mm_l__18_8_ss.stl 12 bbox [[-2.954, -2.998, -51.0], [2.988, 2.954, 0.0]] cen [0.0, -0.0, -23.443] volume_cc 0.6359
standoff_plate.stl 4 bbox [[-65.0, -28.0, -28.25], [65.0, 0.0, 28.25]] cen [0.0, -21.955, -0.0] volume_cc 35.7003
pem_m4_self_clinching_nut__300_ss.stl 48 bbox [[-0.0, -3.875, -3.935], [3.38, 3.935, 3.935]] cen [1.967, -0.0, 0.0] volume_cc 0.1063
bottom_plate.stl 1 bbox [[-96.152, -177.0, 61.5], [96.343, 177.0, 63.1]] cen [-0.0, 0.0, 62.3] volume_cc 93.5698
m4_through_hole_standoff__8mm_l__hardened_steel.stl 21 bbox [[-7.5, -3.95, -4.561], [0.5, 3.95, 4.561]] cen [-3.484, -0.0, -0.0] volume_cc 0.249
standoff_plate__2.stl 2 bbox [[-45.0, -28.0, -28.25], [45.0, 0.0, 28.25]] cen [-0.0, -19.752, 0.0] volume_cc 28.7336
femur_first_stage.stl 6 bbox [[-16.0, -30.282, -1.6], [16.0, 30.282, 61.0]] cen [-0.0, 0.214, 18.692] volume_cc 10.7938
motor_bearing_holder.stl 18 bbox [[-23.0, -22.912, 0.0], [23.0, 23.0, 5.0]] cen [-0.0, -0.0, 2.433] volume_cc 5.3691
bearing_insert.stl 18 bbox [[-15.5, -15.5, 0.0], [15.5, 15.5, 7.75]] cen [0.0, -0.0, 5.598] volume_cc 2.0575
motor_flange.stl 18 bbox [[-15.5, -3.75, -15.5], [15.5, 0.0, 15.5]] cen [-0.0, -1.897, -0.0] volume_cc 2.342
hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe.stl 72 bbox [[-2.77, -2.759, -10.0], [2.77, 2.759, -0.0]] cen [-0.0, -0.0, -4.191] volume_cc 0.0859
first_joint_bottom_plate.stl 6 bbox [[-82.429, -26.1, 0.0], [24.788, 26.1, 50.093]] cen [-39.528, 0.129, 8.94] volume_cc 9.8753
pem_bsos_m3_6____c8b4713a2b299da432156142d6d3e6d8.stl 12 bbox [[-2.4, -2.771, -6.0], [2.4, 2.771, -0.0]] cen [0.0, -0.0, -2.704] volume_cc 0.0608
1_1_31_eb463_510_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 18 bbox [[-23.0, -23.0, 0.0], [22.651, 22.912, 2.5]] cen [-0.0, -0.0, 1.277] volume_cc 1.3331
1_2_05_000608_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 72 bbox [[-6.0, -1.25, -2.341], [4.0, 2.035, 2.35]] cen [-1.722, 0.0, 0.001] volume_cc 0.0467
1_2_05_000555_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 144 bbox [[-3.0, -1.9, -1.556], [3.0, 1.785, 1.893]] cen [-0.588, 0.001, 0.0] volume_cc 0.0188
1_2_05_000438_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 144 bbox [[-2.0, -1.556, -1.893], [2.0, 1.722, 1.785]] cen [-0.486, 0.001, 0.0] volume_cc 0.014
1_1_06_eb463_507_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__çð³ý_à_éì1.stl 18 bbox [[-22.997, -23.0, -11.6], [23.0, 22.999, 23.5]] cen [0.402, 0.0, 4.767] volume_cc 8.1361
1_1_06_eb463_509_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 18 bbox [[-22.96, -22.999, 0.0], [22.935, 23.0, 4.7]] cen [0.14, 0.01, 1.113] volume_cc 2.3759
1_1_02_eb461_502_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 18 bbox [[-22.0, -22.912, 1.0], [23.0, 22.912, 10.0]] cen [0.0, -0.0, 6.147] volume_cc 3.7419
1_2_16_001425_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__çð³ý_à_éì2.stl 18 bbox [[3.064, 10.243, -6.77], [39.809, 47.764, -0.01]] cen [19.71, 29.195, -1.371] volume_cc 2.1068
revolve1_1.stl 18 bbox [[-13.0, -13.0, -2.5], [13.0, 13.0, 2.5]] cen [0.0, -0.0, 0.0] volume_cc 0.3285
cirpattern1_7.stl 18 bbox [[-4.146, -11.998, -1.563], [-1.001, -8.869, 1.569]] cen [-2.573, -10.438, 0.0] volume_cc 0.0163
revolve3_1.stl 18 bbox [[-11.447, -11.447, 1.575], [11.447, 11.447, 2.412]] cen [-0.0, -0.0, 1.965] volume_cc 0.097
cirpattern1_8.stl 18 bbox [[-8.7, -9.608, -1.563], [-5.556, -6.475, 1.569]] cen [-7.129, -8.046, 0.0] volume_cc 0.0163
cirpattern1_11.stl 18 bbox [[-10.418, 4.534, -1.563], [-7.283, 7.677, 1.569]] cen [-8.847, 6.107, -0.0] volume_cc 0.0163
cirpattern2.stl 18 bbox [[-11.726, -11.726, 2.041], [11.647, 11.726, 2.479]] cen [0.0, 0.0, 2.204] volume_cc 0.0082
cirpattern1_9.stl 18 bbox [[-11.605, -5.384, -1.563], [-8.484, -2.24, 1.569]] cen [-10.051, -3.812, -0.0] volume_cc 0.0163
cirpattern1_3.stl 18 bbox [[9.103, -0.278, -1.563], [12.24, 2.87, 1.569]] cen [10.672, 1.296, -0.0] volume_cc 0.0163
cirpattern1_6.stl 18 bbox [[0.998, -12.003, -1.563], [4.146, -8.863, 1.569]] cen [2.573, -10.438, -0.0] volume_cc 0.0163
cirpattern1_5.stl 18 bbox [[5.566, -9.621, -1.563], [8.703, -6.474, 1.569]] cen [7.129, -8.046, -0.0] volume_cc 0.0163
revolve1_2.stl 18 bbox [[-9.386, -9.386, -2.5], [9.386, 9.386, 2.5]] cen [-0.0, -0.0, 0.0] volume_cc 0.2275
revolve2.stl 18 bbox [[-1.575, 9.187, -1.563], [1.575, 12.319, 1.569]] cen [0.0, 10.75, 0.0] volume_cc 0.0163
cirpattern1_12.stl 18 bbox [[-6.568, 7.95, -1.563], [-3.423, 11.088, 1.569]] cen [-4.996, 9.519, 0.0] volume_cc 0.0163
cirpattern1_1.stl 18 bbox [[3.427, 7.974, -1.563], [6.569, 11.092, 1.569]] cen [4.996, 9.519, -0.0] volume_cc 0.0163
cirpattern1_2.stl 18 bbox [[7.276, 4.534, -1.563], [10.415, 7.675, 1.569]] cen [8.847, 6.107, 0.0] volume_cc 0.0163
cirpattern1_4.stl 18 bbox [[8.49, -5.386, -1.563], [11.621, -2.238, 1.569]] cen [10.051, -3.812, 0.0] volume_cc 0.0163
revolve3_2.stl 18 bbox [[-11.447, -11.447, -2.412], [11.447, 11.447, -1.575]] cen [0.0, -0.0, -1.965] volume_cc 0.097
mirror1.stl 18 bbox [[-11.726, -11.726, -2.479], [11.647, 11.726, -2.041]] cen [0.0, 0.0, -2.204] volume_cc 0.0082
cirpattern1_10.stl 18 bbox [[-12.246, -0.278, -1.563], [-9.105, 2.868, 1.569]] cen [-10.672, 1.296, 0.0] volume_cc 0.0163
1_2_05_020051_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__none.stl 54 bbox [[-2.0, -1.992, -6.552], [2.0, 2.0, 0.0]] cen [-0.0, -0.0, -3.98] volume_cc 0.03
1_2_05_020051_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__none__2.stl 54 bbox [[-1.0, -1.0, -4.0], [1.0, 1.0, 0.0]] cen [0.0, 0.0, -0.912] volume_cc 0.0038
0001755652_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 36 bbox [[-1.995, -1.992, -1.0], [2.0, 1.984, 13.0]] cen [0.0, 0.0, 6.0] volume_cc 0.1752
6706__300001_1_1_00mini_000_asm_1_asm_1_asm_00mini__20250103_a0001_asm_1_as_asm_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 18 bbox [[-18.482, -18.499, 0.0], [18.425, 18.5, 4.0]] cen [-0.0, -0.0, 2.0] volume_cc 1.2532
1_21_121000022__610001_1_1_00mini_000_asm_1_asm_1_asm_00mini__20250103_a0001_asm_1_as_asm_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 18 bbox [[-2.0, -5.416, -5.435], [2.0, 5.166, 5.479]] cen [0.0, 0.0, -0.0] volume_cc 0.2409
0001755652_00mini_000_asm_1_asm_1_asm_00mini__20250103_a0001_asm_1_as_asm_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 18 bbox [[-1.995, -1.992, -1.0], [2.0, 1.984, 13.0]] cen [0.0, 0.0, 6.0] volume_cc 0.1752
0001755650_00mini_000_asm_1_asm_1_asm_00mini__20250103_a0001_asm_1_as_asm_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl 18 bbox [[-15.757, -15.757, -1.1], [15.757, 15.757, 6.9]] cen [-0.0, -0.0, 1.672] volume_cc 3.0182
inst 6 tibia.stl center [-277.643, -0.535, 64.755] origin [-226.07, -0.433, 74.6] axes [[-0.98221, 0.005, -0.18774], [-0.00491, -0.99999, -0.00094], [-0.18774, 0.0, 0.98222]]
inst 10 tibia_attatchment_plate.stl center [-216.069, -0.154, 66.473] origin [-203.949, -0.323, 56.627] axes [[-0.63059, -0.005, 0.7761], [-0.00315, 0.99999, 0.00388], [-0.77611, -0.0, -0.6306]]
inst 146 tibia.stl center [266.303, -0.717, 40.927] origin [226.019, -0.379, 74.6] axes [[0.7671, 0.00449, 0.64151], [-0.00345, 0.99999, -0.00288], [-0.64151, 0.0, 0.76711]]
inst 150 tibia_attatchment_plate.stl center [216.017, -0.564, 66.473] origin [203.899, -0.28, 56.627] axes [[0.63059, -0.0045, -0.7761], [-0.00283, -0.99999, 0.00349], [-0.77611, -0.0, -0.6306]]
inst 160 tibia.stl center [-215.314, 298.347, 71.775] origin [-176.008, 269.665, 52.049] axes [[-0.75044, -0.58686, 0.30403], [0.54392, -0.80969, -0.22036], [0.37549, 0.0, 0.92683]]
inst 164 tibia_attatchment_plate.stl center [-166.0, 262.695, 47.876] origin [-154.173, 253.839, 42.82] axes [[-0.26216, 0.58686, 0.76607], [0.19002, 0.80969, -0.55525], [-0.94613, -0.0, -0.32378]]
inst 174 tibia.stl center [-196.992, -305.556, 64.755] origin [-158.65, -271.064, 74.6] axes [[-0.72824, 0.67104, -0.13919], [-0.65911, -0.74142, -0.12598], [-0.18774, 0.0, 0.98222]]
inst 178 tibia_attatchment_plate.stl center [-151.388, -264.182, 66.473] origin [-142.249, -256.22, 56.627] axes [[-0.46754, -0.67104, 0.57542], [-0.42316, 0.74142, 0.5208], [-0.77611, -0.0, -0.6306]]
inst 188 tibia.stl center [189.6, -312.172, 61.596] origin [154.137, -275.703, 74.6] axes [[0.67751, 0.71478, 0.17337], [-0.69247, 0.69934, -0.1772], [-0.24791, 0.0, 0.96878]]
inst 192 tibia_attatchment_plate.stl center [146.978, -268.714, 66.473] origin [138.667, -259.891, 56.627] axes [[0.44101, -0.71479, -0.54277], [-0.45074, -0.69934, 0.55475], [-0.77611, -0.0, -0.6306]]
inst 202 tibia.stl center [199.137, 317.685, 53.463] origin [161.976, 281.166, 59.96] axes [[0.70565, -0.70305, 0.08817], [0.69763, 0.71114, 0.08717], [-0.12399, 0.0, 0.99228]]
inst 206 tibia_attatchment_plate.stl center [153.869, 272.829, 54.4] origin [143.69, 263.088, 47.664] axes [[0.3068, 0.70305, -0.64156], [0.30331, -0.71114, -0.63426], [-0.90215, -0.0, -0.43142]]
inst 233 femur_first_stage.stl center [-189.444, -0.036, 44.84] origin [-203.949, -0.323, 56.627] axes [[-0.63059, -0.005, 0.7761], [-0.00315, 0.99999, 0.00388], [-0.77611, -0.0, -0.6306]]
inst 246 motor_bearing_holder.stl center [-226.179, 21.499, 74.6] origin [-226.167, 19.066, 74.6] axes [[-0.10289, 0.99468, -0.00501], [-0.00051, 0.00498, 0.99999], [0.99469, 0.10289, -0.0]]
inst 247 bearing_insert.stl center [-226.2, 25.664, 74.6] origin [-226.172, 20.066, 74.6] axes [[-0.98221, -0.18774, -0.005], [-0.00491, -0.00094, 0.99999], [-0.18774, 0.98222, -0.0]]
inst 248 motor_flange.stl center [-225.938, -26.83, 74.6] origin [-225.947, -24.933, 74.6] axes [[0.18773, -0.005, 0.98221], [0.00094, 0.99999, 0.00491], [-0.98222, -0.0, 0.18774]]
inst 271 motor_bearing_holder.stl center [-169.134, 21.785, 28.25] origin [-169.122, 19.352, 28.25] axes [[-0.7071, -0.7071, -0.005], [-0.00354, -0.00353, 0.99999], [-0.70711, 0.70711, -0.0]]
inst 272 bearing_insert.stl center [-169.155, 25.95, 28.25] origin [-169.127, 20.352, 28.25] axes [[-0.63059, -0.7761, -0.005], [-0.00315, -0.00388, 0.99999], [-0.77611, 0.6306, -0.0]]
inst 273 motor_flange.stl center [-168.893, -26.545, 28.25] origin [-168.902, -24.648, 28.25] axes [[-0.63059, -0.005, 0.7761], [-0.00315, 0.99999, 0.00388], [-0.77611, -0.0, -0.6306]]
inst 278 motor_bearing_holder.stl center [-120.026, 0.097, 6.317] origin [-120.026, 0.097, 8.75] axes [[0.96688, 0.25522, 0.0], [0.25522, -0.96688, -0.0], [0.0, 0.0, -1.0]]
inst 279 bearing_insert.stl center [-120.026, 0.097, 2.152] origin [-120.026, 0.097, 7.75] axes [[0.99255, 0.12187, 0.0], [0.12187, -0.99255, -0.0], [0.0, 0.0, -1.0]]
inst 280 motor_flange.stl center [-120.026, 0.097, 54.647] origin [-120.026, 0.097, 52.75] axes [[1.0, 0.0, -0.0], [0.0, -0.0, 1.0], [-0.0, -1.0, -0.0]]
inst 334 femur_first_stage.stl center [189.391, -0.429, 44.84] origin [203.899, -0.28, 56.627] axes [[0.63059, -0.0045, -0.7761], [-0.00283, -0.99999, 0.00349], [-0.77611, -0.0, -0.6306]]
inst 347 motor_bearing_holder.stl center [225.92, -22.312, 74.6] origin [225.931, -19.879, 74.6] axes [[0.10289, -0.99468, -0.00449], [-0.00046, 0.00447, -0.99999], [0.99469, 0.10289, -0.0]]
inst 348 bearing_insert.stl center [225.902, -26.477, 74.6] origin [225.927, -20.879, 74.6] axes [[0.7671, 0.64151, -0.0045], [-0.00345, -0.00289, -0.99999], [-0.64151, 0.76711, -0.0]]
inst 349 motor_flange.stl center [226.138, 26.017, 74.6] origin [226.129, 24.12, 74.6] axes [[-0.64151, -0.00449, -0.7671], [0.00288, -0.99999, 0.00345], [-0.76711, -0.0, 0.64151]]
inst 372 motor_bearing_holder.stl center [168.875, -22.056, 28.25] origin [168.886, -19.623, 28.25] axes [[0.7071, 0.7071, -0.0045], [-0.00318, -0.00318, -0.99999], [-0.70711, 0.70711, -0.0]]
inst 373 bearing_insert.stl center [168.857, -26.221, 28.25] origin [168.882, -20.623, 28.25] axes [[0.63059, 0.7761, -0.0045], [-0.00283, -0.00349, -0.99999], [-0.77611, 0.6306, -0.0]]
inst 374 motor_flange.stl center [169.093, 26.274, 28.25] origin [169.084, 24.377, 28.25] axes [[0.63059, -0.0045, -0.7761], [-0.00283, -0.99999, 0.00349], [-0.77611, -0.0, -0.6306]]
inst 379 motor_bearing_holder.stl center [119.974, 0.097, 6.317] origin [119.974, 0.097, 8.75] axes [[-0.96926, -0.24603, -0.0], [-0.24603, 0.96926, 0.0], [0.0, 0.0, -1.0]]
inst 380 bearing_insert.stl center [119.974, 0.097, 2.152] origin [119.974, 0.097, 7.75] axes [[0.99255, 0.12187, -0.0], [0.12187, -0.99255, 0.0], [-0.0, -0.0, -1.0]]
inst 381 motor_flange.stl center [119.974, 0.097, 54.647] origin [119.974, 0.097, 52.75] axes [[1.0, 0.0, 0.0], [0.0, -0.0, 1.0], [0.0, -1.0, -0.0]]
inst 415 femur_first_stage.stl center [-139.728, 243.634, 36.768] origin [-154.173, 253.839, 42.82] axes [[-0.26216, 0.58686, 0.76607], [0.19002, 0.80969, -0.55525], [-0.94613, -0.0, -0.32378]]
inst 428 motor_bearing_holder.stl center [-163.136, 287.424, 52.049] origin [-164.564, 285.454, 52.049] axes [[-0.35631, 0.72708, 0.58686], [0.25825, -0.52698, 0.80969], [0.89797, 0.44006, -0.0]]
inst 429 bearing_insert.stl center [-160.692, 290.797, 52.049] origin [-163.977, 286.264, 52.049] axes [[-0.75044, 0.30403, 0.58686], [0.54392, -0.22035, 0.80969], [0.37549, 0.92683, -0.0]]
inst 430 motor_flange.stl center [-191.499, 248.292, 52.049] origin [-190.386, 249.828, 52.049] axes [[-0.30403, 0.58686, 0.75044], [0.22036, 0.80969, -0.54392], [-0.92683, -0.0, -0.37549]]
inst 453 motor_bearing_holder.stl center [-106.828, 246.612, 28.25] origin [-108.256, 244.642, 28.25] axes [[-0.57254, -0.57254, 0.58686], [0.41497, 0.41497, 0.80969], [-0.70711, 0.70711, -0.0]]
inst 454 bearing_insert.stl center [-104.385, 249.985, 28.25] origin [-107.67, 245.452, 28.25] axes [[-0.26216, -0.76607, 0.58686], [0.19002, 0.55525, 0.80969], [-0.94613, 0.32378, -0.0]]
inst 455 motor_flange.stl center [-135.191, 207.48, 28.25] origin [-134.078, 209.016, 28.25] axes [[-0.26216, 0.58686, 0.76607], [0.19002, 0.80969, -0.55525], [-0.94613, -0.0, -0.32378]]
inst 460 motor_bearing_holder.stl center [-80.026, 200.097, 6.317] origin [-80.026, 200.097, 8.75] axes [[0.93084, -0.36544, -0.0], [-0.36544, -0.93084, -0.0], [0.0, 0.0, -1.0]]
inst 461 bearing_insert.stl center [-80.025, 200.097, 2.152] origin [-80.026, 200.097, 7.75] axes [[0.99255, 0.12187, 0.0], [0.12187, -0.99255, -0.0], [-0.0, 0.0, -1.0]]
inst 462 motor_flange.stl center [-80.026, 200.097, 54.647] origin [-80.026, 200.097, 52.75] axes [[1.0, 0.0, -0.0], [0.0, -0.0, 1.0], [-0.0, -1.0, -0.0]]
inst 496 femur_first_stage.stl center [-131.637, -246.327, 44.84] origin [-142.249, -256.22, 56.627] axes [[-0.46754, -0.67104, 0.57542], [-0.42316, 0.74142, 0.5208], [-0.77611, -0.0, -0.6306]]
inst 509 motor_bearing_holder.stl center [-173.368, -254.802, 74.6] origin [-171.735, -256.606, 74.6] axes [[-0.07629, 0.73748, -0.67104], [-0.06905, 0.66748, 0.74142], [0.99469, 0.10289, -0.0]]
inst 510 bearing_insert.stl center [-176.162, -251.715, 74.6] origin [-172.406, -255.865, 74.6] axes [[-0.72824, -0.1392, -0.67104], [-0.65911, -0.12598, 0.74142], [-0.18774, 0.98222, -0.0]]
inst 511 motor_flange.stl center [-140.936, -290.635, 74.6] origin [-142.209, -289.229, 74.6] axes [[0.13919, -0.67104, 0.72824], [0.12598, 0.74142, 0.65911], [-0.98222, -0.0, 0.18774]]
inst 534 motor_bearing_holder.stl center [-131.073, -216.522, 28.25] origin [-129.44, -218.326, 28.25] axes [[-0.52426, -0.52427, -0.67104], [-0.4745, -0.4745, 0.74142], [-0.70711, 0.70711, -0.0]]
inst 535 bearing_insert.stl center [-133.867, -213.435, 28.25] origin [-130.111, -217.585, 28.25] axes [[-0.46754, -0.57543, -0.67104], [-0.42316, -0.5208, 0.74142], [-0.77611, 0.6306, -0.0]]
inst 536 motor_flange.stl center [-98.642, -252.355, 28.25] origin [-99.914, -250.949, 28.25] axes [[-0.46754, -0.67104, 0.57542], [-0.42316, 0.74142, 0.5208], [-0.77611, -0.0, -0.6306]]
inst 541 motor_bearing_holder.stl center [-80.025, -199.903, 6.317] origin [-80.026, -199.903, 8.75] axes [[0.54979, 0.83531, 0.0], [0.83531, -0.54979, -0.0], [0.0, 0.0, -1.0]]
inst 542 bearing_insert.stl center [-80.025, -199.903, 2.152] origin [-80.026, -199.903, 7.75] axes [[0.99255, 0.12187, 0.0], [0.12187, -0.99255, -0.0], [0.0, 0.0, -1.0]]
inst 543 motor_flange.stl center [-80.026, -199.903, 54.647] origin [-80.026, -199.903, 52.75] axes [[1.0, 0.0, 0.0], [0.0, -0.0, 1.0], [0.0, -1.0, -0.0]]
inst 577 femur_first_stage.stl center [128.369, -249.671, 44.84] origin [138.667, -259.891, 56.627] axes [[0.44101, -0.71479, -0.54277], [-0.45074, -0.69934, 0.55475], [-0.77611, -0.0, -0.6306]]
inst 590 motor_bearing_holder.stl center [138.46, -291.041, 74.6] origin [140.199, -289.34, 74.6] axes [[0.07196, -0.69564, -0.71478], [-0.07355, 0.71099, -0.69935], [0.99469, 0.10289, -0.0]]
inst 591 bearing_insert.stl center [135.483, -293.954, 74.6] origin [139.484, -290.039, 74.6] axes [[0.67751, 0.17337, -0.71479], [-0.69247, -0.1772, -0.69934], [-0.24791, 0.96878, -0.0]]
inst 592 motor_flange.stl center [173.005, -257.242, 74.6] origin [171.649, -258.569, 74.6] axes [[-0.17338, -0.71478, -0.67751], [0.1772, -0.69935, 0.69247], [-0.96878, -0.0, 0.24791]]
