mesh,category,count,mass_each_min_kg,mass_each_max_kg,mass_total_kg,density_estimate_min_kg_m3,density_estimate_max_kg_m3,assigned_material_name
assets/0001755650_00mini_000_asm_1_asm_1_asm_00mini__20250103_a0001_asm_1_as_asm_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,18,0.008098780354377517,0.008098780354377517,0.1457780463787953,2683.358192056055,2683.358192056055,
assets/0001755652_00mini_000_asm_1_asm_1_asm_00mini__20250103_a0001_asm_1_as_asm_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,18,0.0004702300207584738,0.0004702300207584738,0.008464140373652528,2683.4197214113174,2683.4197214113174,
assets/0001755652_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,36,0.0004702300207584738,0.0004702300207584738,0.016928280747305055,2683.4197214113174,2683.4197214113174,
assets/1_1_02_eb461_502_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,18,0.010039340782280859,0.010039340782280859,0.18070813408105546,2682.9295854164625,2682.9295854164625,
assets/1_1_06_eb463_507_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__çð³ý_à_éì1.stl,vendor_motor_parts,18,0.021834137619844866,0.021834137619844866,0.3930144771572076,2683.628154304859,2683.628154304859,
assets/1_1_06_eb463_509_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,18,0.006371665639530841,0.006371665639530841,0.11468998151155514,2681.8054383607005,2681.8054383607005,
assets/1_1_31_eb463_510_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,18,0.003575505293965178,0.003575505293965178,0.0643590952913732,2682.0242129820117,2682.0242129820117,
assets/1_21_121000022__610001_1_1_00mini_000_asm_1_asm_1_asm_00mini__20250103_a0001_asm_1_as_asm_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,18,0.0006467748269288475,0.0006467748269288475,0.011641946884719255,2684.2905298823785,2684.2905298823785,
assets/1_2_05_000438_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,144,3.7452900945165836e-05,3.7452900945165836e-05,0.005393217736103881,2681.5632955700858,2681.5632955700858,
assets/1_2_05_000555_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,144,5.05564929384142e-05,5.05564929384142e-05,0.007280134983131645,2682.4860431584343,2682.4860431584343,
assets/1_2_05_000608_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,72,0.0001251760225275824,0.0001251760225275824,0.009012673621985934,2680.5035976093454,2680.5035976093454,
assets/1_2_05_020051_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__none.stl,vendor_motor_parts,54,0.0,0.0,0.0,0.0,0.0,
assets/1_2_05_020051_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__none__2.stl,vendor_motor_parts,54,0.0,0.0,0.0,,,
assets/1_2_16_001425_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__çð³ý_à_éì2.stl,vendor_motor_parts,18,0.005650791388921487,0.005650791388921487,0.10171424500058676,2682.125825875763,2682.125825875763,
assets/6706__300001_1_1_00mini_000_asm_1_asm_1_asm_00mini__20250103_a0001_asm_1_as_asm_1_1_30_gr_2202_asm_1_asm_1_1_30_gr_2202_asm_fl46blw10_48v_5n_m_de_2__fl46blw10_48v_5n_m_de__êäèë1.stl,vendor_motor_parts,18,0.0033628358449929595,0.0033628358449929595,0.06053104520987327,2683.4835553369453,2683.4835553369453,
assets/bearing_insert.stl,custom_robot_structure,18,0.005562323467948138,0.005562323467948138,0.10012182242306648,2703.429953404277,2703.429953404277,
assets/bottom_enclosure.stl,custom_robot_structure,1,0.40997782122961496,0.40997782122961496,0.40997782122961496,2810.1549111928216,2810.1549111928216,
assets/bottom_plate.stl,custom_robot_structure,1,0.25075927434637585,0.25075927434637585,0.25075927434637585,2679.916241511828,2679.916241511828,
assets/cirpattern1_1.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.955793601361,7874.955793601361,
assets/cirpattern1_10.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.95576918239,7874.95576918239,
assets/cirpattern1_11.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.9557065449235,7874.9557065449235,
assets/cirpattern1_12.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.955793601361,7874.955793601361,
assets/cirpattern1_2.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.955706544925,7874.955706544925,
assets/cirpattern1_3.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.955769182388,7874.955769182388,
assets/cirpattern1_4.stl,separate_bearing_parts,18,0.0001284694723599898,0.0001284694723599898,0.0023124505024798166,7874.955724118307,7874.955724118307,
assets/cirpattern1_5.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.955784522166,7874.955784522166,
assets/cirpattern1_6.stl,separate_bearing_parts,18,0.0001284694723599898,0.0001284694723599898,0.0023124505024798166,7874.95568817144,7874.95568817144,
assets/cirpattern1_7.stl,separate_bearing_parts,18,0.0001284694723599898,0.0001284694723599898,0.0023124505024798166,7874.95568817144,7874.95568817144,
assets/cirpattern1_8.stl,separate_bearing_parts,18,0.0001284694723599898,0.0001284694723599898,0.0023124505024798166,7874.955784522164,7874.955784522164,
assets/cirpattern1_9.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.95572411831,7874.95572411831,
assets/cirpattern2.stl,separate_bearing_parts,18,6.447682549723187e-05,6.447682549723187e-05,0.0011605828589501739,7872.856074580987,7872.856074580987,
assets/femur_first_stage.stl,custom_robot_structure,6,0.02893272756943386,0.02893272756943386,0.17359636541660317,2680.496183058307,2680.496183058307,
assets/first_joint_bottom_plate.stl,custom_robot_structure,6,0.026471250764240534,0.026471250764240534,0.1588275045854432,2680.5443153614974,2680.5443153614974,
assets/first_joint_spacer.stl,custom_robot_structure,6,0.029604287638934565,0.029604287638934565,0.1776257258336074,1299.860581272014,1299.860581272014,
assets/first_joint_top.stl,custom_robot_structure,6,0.013528033696840042,0.013528033696840042,0.08116820218104026,2680.4792727339136,2680.4792727339136,
assets/hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe.stl,catalog_fasteners_and_hardware,72,0.000665400491340697,0.000665400491340697,0.047908835376530186,7750.264956972535,7750.264956972535,
assets/m3_countersunk_hex_drive_screw__8mm_l__alloy_steel.stl,catalog_fasteners_and_hardware,36,0.00048289151479582207,0.00048289151479582207,0.017384094532649594,7858.766542248207,7858.766542248207,
assets/m3_low_profile__socket_head_shoulder_screw__45mm_shoulder_l__4mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,12,0.004999074730322696,0.004999074730322696,0.05998889676387235,7861.06638296797,7861.06638296797,
assets/m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl,catalog_fasteners_and_hardware,73,0.0005661645150078846,0.0005661645150078846,0.041330009595575576,7859.731506966328,7859.731506966328,
assets/m3_low_profile_socket_head_screw__6mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,96,0.0006211045207284469,0.0006211045207284469,0.05962603398993091,8039.139713754482,8039.139713754482,
assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,144,0.0007121385343213328,0.0007121385343213328,0.10254794894227193,8040.7096525417055,8040.7096525417055,
assets/m4_countersunk_hex_drive_screw__12mm_l__alloy_steel.stl,catalog_fasteners_and_hardware,60,0.001260631712756462,0.001260631712756462,0.07563790276538772,7857.498556788518,7857.498556788518,
assets/m4_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,72,0.0014360273543625498,0.0014360273543625498,0.10339396951410358,8038.740358553364,8038.740358553364,
assets/m4_through_hole_standoff__8mm_l__hardened_steel.stl,catalog_fasteners_and_hardware,21,0.0019568427667201755,0.0019568427667201755,0.041093698101123684,7858.890313955405,7858.890313955405,
assets/mirror1.stl,separate_bearing_parts,18,6.447682549775924e-05,6.447682549775924e-05,0.0011605828589596665,7872.854216917409,7872.854216917409,
assets/motor_bearing_holder.stl,custom_robot_structure,18,0.014515050518199327,0.014515050518199327,0.2612709093275879,2703.429905755286,2703.429905755286,
assets/motor_flange.stl,custom_robot_structure,18,0.006284657394665203,0.006284657394665203,0.11312383310397366,2683.404406361359,2683.404406361359,
assets/pem_bsos_m3_6____c8b4713a2b299da432156142d6d3e6d8.stl,catalog_fasteners_and_hardware,12,0.0004708484897520461,0.0004708484897520461,0.0056501818770245535,7748.476449825232,7748.476449825232,
assets/pem_m4_self_clinching_nut__300_ss.stl,catalog_fasteners_and_hardware,48,0.0008355363884781723,0.0008355363884781723,0.04010574664695227,7859.975614040126,7859.975614040126,
assets/revolve1_1.stl,separate_bearing_parts,18,0.0025808941287641892,0.0025808941287641892,0.04645609431775541,7856.941524130452,7856.941524130452,
assets/revolve1_2.stl,separate_bearing_parts,18,0.0017875603307419146,0.0017875603307419146,0.032176085953354465,7856.669193530514,7856.669193530514,
assets/revolve2.stl,separate_bearing_parts,18,0.00012846947235998983,0.00012846947235998983,0.002312450502479817,7874.955627712786,7874.955627712786,
assets/revolve3_1.stl,separate_bearing_parts,18,0.0007627277500685167,0.0007627277500685167,0.0137290995012333,7859.972662117585,7859.972662117585,
assets/revolve3_2.stl,separate_bearing_parts,18,0.000762727750068509,0.000762727750068509,0.01372909950123316,7859.972662117504,7859.972662117504,
assets/standoff_plate.stl,custom_robot_structure,4,0.09569771578849694,0.09569771578849694,0.38279086315398775,2680.5875034747673,2680.5875034747673,
assets/standoff_plate__2.stl,custom_robot_structure,2,0.07702098214720098,0.07702098214720098,0.15404196429440195,2680.5151643381914,2680.5151643381914,
assets/tibia.stl,custom_robot_structure,6,0.08511844308625288,0.08511844308625288,0.5107106585175173,1180.6432589755934,1180.6432589755934,
assets/tibia_attatchment_plate.stl,custom_robot_structure,6,0.01944394183095705,0.01944394183095705,0.1166636509857423,2680.7545380334036,2680.7545380334036,
assets/top_enclosure.stl,custom_robot_structure,1,0.40426892019767996,0.40426892019767996,0.40426892019767996,2810.0741435315845,2810.0741435315845,
