env,combined_pass,physical_pass,quiet_pass,missing_six_toe_substeps,max_quiet_sdk_rate_rms_rad_s,max_quiet_joint_range_rad,max_quiet_planar_excursion_m,max_requested_all_substeps_nm
0,True,True,True,0,0.004887796007096767,0.00020831450819969177,3.2453292533318745e-06,1.120739459991455
1,False,False,True,2,0.007516566663980484,0.0020789429545402527,2.4569937522755936e-05,1.125733494758606
2,False,False,False,3,0.08911135792732239,0.003682544454932213,3.743277920875698e-05,1.1213760375976562
3,False,False,True,2,0.007165185641497374,0.001975705847144127,2.371210757701192e-05,1.1215375661849976
4,False,False,True,1,0.008387329056859016,0.001939196139574051,3.053962791454978e-05,1.1232939958572388
5,True,True,True,0,0.009664319455623627,0.000773278996348381,7.630674190295395e-06,1.1212975978851318
6,True,True,True,0,0.0071540349163115025,0.0001787431538105011,1.2402364518493414e-05,1.1244688034057617
7,False,False,True,3,0.008113564923405647,0.00404585525393486,5.420442175818607e-05,1.122188687324524
8,False,False,False,8,0.08812021464109421,0.010746262036263943,7.107712008291855e-05,1.1237412691116333
9,False,False,False,1,0.0896308496594429,0.003317747265100479,2.9247361453599297e-05,1.1235020160675049
10,False,False,True,3,0.004495774395763874,0.004406992346048355,4.1487572161713615e-05,1.1208522319793701
11,False,False,True,1,0.006066584028303623,0.0019388198852539062,2.6175059247179888e-05,1.1221277713775635
12,True,True,True,0,0.008822962641716003,0.00024016015231609344,8.21160756458994e-06,1.1223092079162598
13,False,False,True,3,0.00800465326756239,0.0032523898407816887,5.661776231136173e-05,1.1206274032592773
14,True,True,True,0,0.009448186494410038,0.00030161626636981964,1.264798720512772e-05,1.1240679025650024
15,False,False,True,5,0.009089440107345581,0.008047016337513924,7.057683251332492e-05,1.121079921722412
16,False,False,True,2,0.0065884157083928585,0.002168649807572365,4.1711609810590744e-05,1.1222699880599976
17,True,True,True,0,0.005755396094173193,0.0006296467036008835,1.1093511602666695e-05,1.1248788833618164
18,False,False,True,5,0.0070526935160160065,0.004660675302147865,0.00014075200306251645,1.1198636293411255
19,False,False,False,4,0.10607875138521194,0.007269686087965965,4.78414076496847e-05,1.1242449283599854
20,False,False,False,6,0.06489240378141403,0.004882326349616051,0.000161221920279786,1.1196215152740479
21,False,False,True,2,0.008767157793045044,0.003415750339627266,3.72673493984621e-05,1.1218078136444092
22,True,True,True,0,0.008363520726561546,0.0006605517119169235,9.10996095626615e-06,1.1220568418502808
23,False,False,False,7,0.0712999626994133,0.006887206807732582,3.136994200758636e-05,1.120461344718933
24,False,False,True,1,0.006663145963102579,0.0018456336110830307,2.888780363718979e-05,1.1216754913330078
25,False,False,False,5,0.0584736205637455,0.0048020388931035995,3.9103553717723116e-05,1.120754361152649
26,True,True,True,0,0.0065391347743570805,0.0008398368954658508,8.341243301401846e-06,1.122782826423645
27,False,False,False,6,0.05450928583741188,0.00472752470523119,2.9625367460539564e-05,1.1214337348937988
28,True,True,True,0,0.008453951217234135,0.0007644854485988617,1.4557206668541767e-05,1.1248912811279297
29,False,False,True,1,0.010012338869273663,0.0018275920301675797,2.9102697226335295e-05,1.123134732246399
30,False,False,True,2,0.00815947912633419,0.002800299786031246,2.7524700271897018e-05,1.1199042797088623
31,True,True,True,0,0.00919940322637558,0.0009430050849914551,1.2971373507753015e-05,1.1234558820724487
