         393071 function calls (333385 primitive calls) in 0.065 seconds

   Ordered by: cumulative time
   List reduced from 110 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.065    0.065 profile_cpu.py:83(run)
        1    0.001    0.001    0.065    0.065 observation.py:294(build)
       32    0.003    0.000    0.044    0.001 observation.py:134(_encode)
 28992/32    0.012    0.000    0.017    0.001 observation.py:57(finite_tree)
 30016/64    0.009    0.000    0.014    0.000 observation.py:69(serial)
   230722    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
     2816    0.003    0.000    0.008    0.000 observation.py:29(arr)
      416    0.000    0.000    0.006    0.000 numeric.py:2226(allclose)
      416    0.003    0.000    0.006    0.000 numeric.py:2320(isclose)
       33    0.000    0.000    0.005    0.000 __init__.py:183(dumps)
       33    0.000    0.000    0.005    0.000 encoder.py:183(encode)
       33    0.005    0.000    0.005    0.000 encoder.py:205(iterencode)
     1696    0.002    0.000    0.004    0.000 observation.py:191(add)
       64    0.000    0.000    0.004    0.000 observation.py:272(trajectory)
      864    0.000    0.000    0.003    0.000 observation.py:39(scalar)
       96    0.000    0.000    0.003    0.000 observation.py:43(rotation)
     2432    0.001    0.000    0.002    0.000 numerictypes.py:418(issubdtype)
     5057    0.001    0.000    0.002    0.000 _methods.py:64(_all)
     3361    0.001    0.000    0.002    0.000 {method 'all' of 'numpy.ndarray' objects}
     1248    0.000    0.000    0.002    0.000 fromnumeric.py:2586(all)


