         342159 function calls (289321 primitive calls) in 0.054 seconds

   Ordered by: cumulative time
   List reduced from 107 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.054    0.054 profile_cpu.py:83(run)
        1    0.001    0.001    0.054    0.054 observation.py:294(build)
       32    0.002    0.000    0.036    0.001 observation.py:134(_encode)
 25568/32    0.010    0.000    0.015    0.000 observation.py:57(finite_tree)
 26592/64    0.008    0.000    0.012    0.000 observation.py:69(serial)
   203362    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
     2208    0.002    0.000    0.006    0.000 observation.py:29(arr)
      352    0.000    0.000    0.005    0.000 numeric.py:2226(allclose)
      352    0.002    0.000    0.005    0.000 numeric.py:2320(isclose)
     1696    0.002    0.000    0.004    0.000 observation.py:191(add)
       33    0.000    0.000    0.004    0.000 __init__.py:183(dumps)
       33    0.000    0.000    0.004    0.000 encoder.py:183(encode)
       33    0.003    0.000    0.003    0.000 encoder.py:205(iterencode)
       96    0.000    0.000    0.003    0.000 observation.py:43(rotation)
     3169    0.001    0.000    0.002    0.000 {method 'all' of 'numpy.ndarray' objects}
     4321    0.001    0.000    0.002    0.000 _methods.py:64(_all)
     1056    0.000    0.000    0.002    0.000 fromnumeric.py:2586(all)
     1824    0.001    0.000    0.002    0.000 numerictypes.py:418(issubdtype)
      448    0.000    0.000    0.002    0.000 observation.py:39(scalar)
     4096    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}


