         371567 function calls (314313 primitive calls) in 0.059 seconds

   Ordered by: cumulative time
   List reduced from 109 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.059    0.059 profile_cpu.py:83(run)
        1    0.001    0.001    0.059    0.059 observation.py:294(build)
       32    0.002    0.000    0.039    0.001 observation.py:134(_encode)
 27776/32    0.011    0.000    0.016    0.001 observation.py:57(finite_tree)
 28800/64    0.009    0.000    0.013    0.000 observation.py:69(serial)
   220642    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
     2464    0.002    0.000    0.007    0.000 observation.py:29(arr)
      384    0.000    0.000    0.006    0.000 numeric.py:2226(allclose)
      384    0.002    0.000    0.005    0.000 numeric.py:2320(isclose)
       33    0.000    0.000    0.005    0.000 __init__.py:183(dumps)
       33    0.000    0.000    0.005    0.000 encoder.py:183(encode)
       33    0.005    0.000    0.005    0.000 encoder.py:205(iterencode)
     1696    0.002    0.000    0.004    0.000 observation.py:191(add)
       96    0.000    0.000    0.003    0.000 observation.py:43(rotation)
      640    0.000    0.000    0.002    0.000 observation.py:39(scalar)
       64    0.000    0.000    0.002    0.000 observation.py:272(trajectory)
     4641    0.001    0.000    0.002    0.000 _methods.py:64(_all)
     3233    0.001    0.000    0.002    0.000 {method 'all' of 'numpy.ndarray' objects}
     2080    0.001    0.000    0.002    0.000 numerictypes.py:418(issubdtype)
     1152    0.000    0.000    0.002    0.000 fromnumeric.py:2586(all)


