         22146 function calls (21154 primitive calls) in 0.022 seconds

   Ordered by: cumulative time
   List reduced from 127 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.022    0.022 profile_cpu.py:48(run)
       32    0.001    0.000    0.022    0.001 wave_reference.py:246(step)
       64    0.008    0.000    0.010    0.000 serial_geometry.py:52(fk)
       32    0.002    0.000    0.009    0.000 serial_geometry.py:73(ik)
       32    0.000    0.000    0.007    0.000 wave_reference.py:168(_support)
       32    0.000    0.000    0.006    0.000 wave_reference.py:159(_com)
       32    0.000    0.000    0.005    0.000 wave_reference.py:105(_fk)
       32    0.000    0.000    0.002    0.000 wave_reference.py:75(_read)
       32    0.000    0.000    0.001    0.000 wave_reference.py:207(_output)
       32    0.001    0.000    0.001    0.000 wave_math.py:26(support_margin)
      544    0.000    0.000    0.001    0.000 wave_reference.py:69(_one)
      320    0.000    0.000    0.001    0.000 _linalg.py:2598(norm)
       32    0.000    0.000    0.001    0.000 numeric.py:2226(allclose)
     1472    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       32    0.000    0.000    0.001    0.000 dataclasses.py:1308(asdict)
  1024/32    0.000    0.000    0.001    0.000 dataclasses.py:1332(_asdict_inner)
       32    0.000    0.000    0.001    0.000 numeric.py:2320(isclose)
      192    0.000    0.000    0.001    0.000 _tensor.py:32(wrapped)
      192    0.000    0.000    0.000    0.000 _tensor.py:1116(__rsub__)
      192    0.000    0.000    0.000    0.000 {built-in method torch.rsub}


