variant,femur_scale,tibia_scale,femur_length_m,tibia_length_m,max_abs_static_hold_torque_nm,static_torque_margin_nm,six_foot_geometry_eligible,reset_root_height_m,simulation_validated
f050_t050,0.5,0.5,0.0725,0.10500000703334808,0.6712557297928139,0.9287442702071862,True,0.12066583578802899,False
f050_t060,0.5,0.6,0.0725,0.12600000844001769,0.6614362450833099,0.9385637549166902,True,0.14166583719462467,False
f050_t070,0.5,0.7,0.0725,0.1470000098466873,0.66143619572575,0.9385638042742501,True,0.16266583860122033,False
f050_t080,0.5,0.8,0.0725,0.16800001125335695,0.6614361463681903,0.9385638536318098,True,0.18366584000781605,False
f050_t090,0.5,0.9,0.0725,0.18900001266002656,0.6614360970106312,0.9385639029893689,True,0.20466584141441171,False
f050_t100,0.5,1.0,0.0725,0.21000001406669616,0.661436047653073,0.9385639523469271,True,0.2256658428210074,False
f050_t110,0.5,1.1,0.0725,0.2310000154733658,0.6614359982955147,0.9385640017044854,True,0.2466658442276031,False
f060_t050,0.6,0.5,0.087,0.10500000703334808,0.7937927797443364,0.8062072202556637,True,0.11234898824096318,False
f060_t060,0.6,0.6,0.087,0.12600000844001769,0.7821965402865458,0.8178034597134543,True,0.13334898964755887,False
f060_t070,0.6,0.7,0.087,0.1470000098466873,0.7821964827278025,0.8178035172721976,True,0.15434899105415453,False
f060_t080,0.6,0.8,0.087,0.16800001125335695,0.7821964251690605,0.8178035748309396,True,0.17534899246075025,False
f060_t090,0.6,0.9,0.087,0.18900001266002656,0.7821963676103177,0.8178036323896823,True,0.19634899386734592,False
f060_t100,0.6,1.0,0.087,0.21000001406669616,0.7821963100515763,0.8178036899484238,True,0.2173489952739416,False
f060_t110,0.6,1.1,0.087,0.2310000154733658,0.782196252492835,0.8178037475071651,True,0.2383489966805373,False
f070_t050,0.7,0.5,0.10149999999999999,0.10500000703334808,0.9162988914197979,0.6837011085802022,True,0.10403214069389738,False
f070_t060,0.7,0.6,0.10149999999999999,0.12600000844001769,0.9029567341495189,0.6970432658504812,True,0.12503214210049304,False
f070_t070,0.7,0.7,0.10149999999999999,0.1470000098466873,0.9029566686676573,0.6970433313323428,True,0.1460321435070887,False
f070_t080,0.7,0.8,0.10149999999999999,0.16800001125335695,0.9029566031857978,0.6970433968142022,True,0.16703214491368445,False
f070_t090,0.7,0.9,0.10149999999999999,0.18900001266002656,0.9029565377039375,0.6970434622960626,True,0.1880321463202801,False
f070_t100,0.7,1.0,0.10149999999999999,0.21000001406669616,0.9029564722220773,0.6970435277779228,True,0.20903214772687578,False
f070_t110,0.7,1.1,0.10149999999999999,0.2310000154733658,0.9029564067402175,0.6970435932597826,True,0.23003214913347148,False
f080_t050,0.8,0.5,0.11599999999999999,0.10500000703334808,1.0387717017055376,0.5612282982944625,True,0.09571529314683158,False
f080_t060,0.8,0.6,0.11599999999999999,0.12600000844001769,1.0237168067035456,0.5762831932964545,True,0.11671529455342725,False
f080_t070,0.8,0.7,0.11599999999999999,0.1470000098466873,1.0237167335626718,0.5762832664373283,True,0.1377152959600229,False
f080_t080,0.8,0.8,0.11599999999999999,0.16800001125335695,1.023716660421798,0.5762833395782021,True,0.15871529736661863,False
f080_t090,0.8,0.9,0.11599999999999999,0.18900001266002656,1.0237165872809253,0.5762834127190748,True,0.1797152987732143,False
f080_t100,0.8,1.0,0.11599999999999999,0.21000001406669616,1.0237165141400535,0.5762834858599466,True,0.20071530017980999,False
f080_t110,0.8,1.1,0.11599999999999999,0.2310000154733658,1.0237164409991806,0.5762835590008195,True,0.22171530158640568,False
f090_t050,0.9,0.5,0.1305,0.10500000703334808,1.1612096618265249,0.43879033817347524,True,0.08739844559976578,False
f090_t060,0.9,0.6,0.1305,0.12600000844001769,1.1444767434669765,0.4555232565330236,True,0.10839844700636145,False
f090_t070,0.9,0.7,0.1305,0.1470000098466873,1.1444766629181689,0.45552333708183124,True,0.1293984484129571,False
f090_t080,0.9,0.8,0.1305,0.16800001125335695,1.1444765823693595,0.45552341763064064,True,0.15039844981955283,False
f090_t090,0.9,0.9,0.1305,0.18900001266002656,1.144476501820553,0.45552349817944715,True,0.1713984512261485,False
f090_t100,0.9,1.0,0.1305,0.21000001406669616,1.1444764212717455,0.45552357872825455,True,0.1923984526327442,False
f090_t110,0.9,1.1,0.1305,0.2310000154733658,1.1444763407229395,0.4555236592770606,True,0.21339845403933988,False
f100_t050,1.0,0.5,0.145,0.10500000703334808,1.2836118392652482,0.31638816073475184,False,0.08550009109465531,False
f100_t060,1.0,0.6,0.145,0.12600000844001769,1.2652365341803633,0.3347634658196368,True,0.10008159945929568,False
f100_t070,1.0,0.7,0.145,0.1470000098466873,1.265236446462525,0.3347635535374751,True,0.12108160086589134,False
f100_t080,1.0,0.8,0.145,0.16800001125335695,1.2652363587446875,0.33476364125531255,True,0.14208160227248706,False
f100_t090,1.0,0.9,0.145,0.18900001266002656,1.265236271026849,0.3347637289731511,True,0.16308160367908273,False
f100_t100,1.0,1.0,0.145,0.21000001406669616,1.2652361833090127,0.3347638166909874,True,0.18408160508567842,False
f100_t110,1.0,1.1,0.145,0.2310000154733658,1.2652360955911766,0.33476390440882353,True,0.2050816064922741,False
f110_t050,1.1,0.5,0.1595,0.10500000703334808,1.4059777689015656,0.19402223109843453,False,0.08550009109465531,False
f110_t060,1.1,0.6,0.1595,0.12600000844001769,1.3859961718419245,0.21400382815807562,True,0.09176475191222985,False
f110_t070,1.1,0.7,0.1595,0.1470000098466873,1.3859960771825681,0.21400392281743197,True,0.11276475331882552,False
f110_t080,1.1,0.8,0.1595,0.16800001125335695,1.385995982523214,0.2140040174767861,True,0.13376475472542124,False
f110_t090,1.1,0.9,0.1595,0.18900001266002656,1.3859958878638587,0.21400411213614134,True,0.1547647561320169,False
f110_t100,1.1,1.0,0.1595,0.21000001406669616,1.3859957932045042,0.21400420679549592,True,0.1757647575386126,False
f110_t110,1.1,1.1,0.1595,0.2310000154733658,1.3859956985451496,0.2140043014548505,True,0.19676475894520828,False
